Month,Views_sent_mean,Views_sent_count,Difficulty_sent_mean,Difficulty_sent_count,Crowding_sent_mean,Crowding_sent_count,Overall_sent_mean,Overall_sent_count,Overall_Review_sent_mean,Overall_Review_sent_count,Rating_mean,Rating_count
2024-08-01,0.4805630769230769,13,0.09905333333333333,12,0.72788,1,0.473472,10,0.4408152380952381,21,4.761904761904762,21
2024-09-01,0.4899961904761905,21,0.17590363636363637,22,0.0,5,0.6798694736842105,19,0.4993207619047619,30,4.9,30
2024-10-01,0.604321212121212,33,0.2484,27,-0.20075999999999997,6,0.7958248275862069,29,0.516082,60,4.688524590163935,61
2024-11-01,0.42906594594594594,37,0.17082628571428574,35,-0.24279199999999998,5,0.7257144444444444,36,0.5439689655172414,58,4.775862068965517,58
2024-12-01,0.5697097435897436,39,0.1970785714285714,28,0.010840000000000016,8,0.6802666666666667,36,0.51753,52,4.788461538461538,52
2025-01-01,0.44446769230769234,26,0.171658,20,-0.056439999999999976,2,0.6920953846153846,26,0.598841,40,4.9,40
2025-02-01,0.6103850000000001,24,0.3399008695652174,23,-0.029109999999999997,4,0.8066607407407408,27,0.6050923076923077,39,4.897435897435898,39
2025-03-01,0.6108106666666667,45,0.16464977777777778,45,-0.08079555555555555,9,0.7001654901960785,51,0.5419180952380952,84,4.761904761904762,84
2025-04-01,0.4536888888888889,54,0.15875675675675674,37,0.09968666666666669,6,0.7003520000000001,50,0.45500232558139536,86,4.6976744186046515,86
2025-05-01,0.43228272727272726,44,0.17720363636363637,33,-0.05159599999999999,10,0.7122553846153846,39,0.48745970149253726,67,4.82089552238806,67
2025-06-01,0.428715,16,0.20520000000000002,12,-0.6,1,0.3835325,16,0.34838833333333336,24,4.833333333333333,24
2025-07-01,0.5390874999999999,16,0.13463384615384616,13,0.14448000000000003,1,0.8313166666666666,12,0.5199466666666667,21,4.857142857142857,21
